Date,"Seabed mining","Anglerfish"
2026-01-28,21,1030
2026-01-29,13,972
2026-01-30,12,1096
2026-01-31,16,1336
2026-02-01,20,1369
2026-02-02,17,1232
2026-02-03,23,1236
2026-02-04,21,1441
2026-02-05,31,1270
2026-02-06,23,1327
2026-02-07,28,1250
2026-02-08,21,1222
2026-02-09,25,1254
2026-02-10,11,1142
2026-02-11,18,1219
2026-02-12,23,1224
2026-02-13,18,1215
2026-02-14,20,1111
2026-02-15,14,1241
2026-02-16,20,1208
2026-02-17,35,1053
2026-02-18,26,1125
2026-02-19,31,1174
